be,być,was were,been
touch,dotknąć,touched,touched
fear,strach,feared,feared
stick,kij,sticked,sticked
settle,rozstrzygać,settled,settled
ignore,ignorować,ignored,ignored
compare,porównać,compared,compared
define,definiować,defined,defined
exercise,ćwiczenie,exercised,exercised
demonstrate,wykazać,demonstrated,demonstrated
account,konto,accounted,accounted
persuade,namawiać,persuaded,persuaded
investigate,zbadać,investigated,investigated
clear,jasny,cleared,cleared
guess,odgadnąć,guessed,guessed
record,rekord,recorded,recorded
vote,głosować,voted,voted
explore,badać,explored,explored
blame,winić,blamed,blamed
arrange,zorganizować,arranged,arranged
cross,krzyż,crossed,crossed
deny,zaprzeczać,denied,denied
realize,realizować,realized,realized
hide,ukryć,hid,hidden
focus,skupiać,focused,focused
deliver,dostarczyć,delivered,delivered
proceed,kontynuować,proceeded,proceeded
succeed,osiągnąć sukces,succeeded,succeeded
bother,zawracać głowę,bothered,bothered
refuse,odrzucać,refused,refused
force,siła,forced,forced
demand,żądanie,demanded,demanded
recognize,rozpoznać,recognized,recognized
count,liczyć,counted,counted
doubt,wątpić,doubted,doubted
reckon,liczyć się,reckoned,reckoned
belong,należeć,belonged,belonged
emerge,pojawić się,emerged,emerged
sing,śpiewać,sang,sung
intend,zamierzać,intended,intended
justify,uzasadniać,justified,justified
in,w,inned,inned
advise,doradzać,advised,advised
defend,bronić,defended,defended
laugh,śmiech,laughed,laughed
dare,odważyć się,dared,dared
acquire,nabyć,acquired,acquired
recover,wyzdrowieć,recovered,recovered
generate,Generować,generated,generated
distinguish,rozróżniać,distinguished,distinguished
suspect,posądzać,suspected,suspected
earn,zarabiać,earned,earned
finance,finanse,financed,financed
bet,Zakład,bet,bet
destroy,zniszczyć,destroyed,destroyed
rest,odpoczynek,rested,rested
judge,sędzia,judged,judged
pursue,kontynuować,pursued,pursued
comment,komentarz,commented,commented
satisfy,usatysfakcjonować,satisfied,satisfied
compete,rywalizować,competed,competed
resist,opierać się,resisted,resisted
suit,garnitur,suited,suited
address,adres,addressed,addressed
solve,rozwiązać,solved,solved
lift,winda,lifted,lifted
alter,zmieniać,altered,altered
impose,narzucać,imposed,imposed
display,pokaz,displayed,displayed
appeal,apel,appealed,appealed
release,wydanie,released,released
sort,sortować,sorted,sorted
differ,różnić się,differed,differed
select,Wybierz,selected,selected
measure,zmierzyć,measured,measured
recommend,polecić,recommended,recommended
order,zamówienie,ordered,ordered
transfer,transfer,transferred,transferred
attack,atak,attacked,attacked
expand,rozszerzać,expanded,expanded
roll,rolka,rolled,rolled
burst,rozerwanie,burst,burst
undertake,podjąć,undertook,undertaken
relax,zrelaksować się,relaxed,relaxed
participate,uczestniczyć,participated,participated
of,z,,
behave,zachować się,behaved,behaved
strike,strajk,struck,struck
remind,przypominać,reminded,reminded
review,przejrzeć,reviewed,reviewed
approach,podejście,approached,approached
employ,zatrudniać,employed,employed
restore,przywracać,restored,restored
wash,myć się,washed,washed
observe,przestrzegać,observed,observed
combine,połączyć,combined,combined
insist,obstawać,insisted,insisted
issue,kwestia,issued,issued
ride,jazda,rode,ridden
constitute,stanowić,constituted,constituted
jump,skok,jumped,jumped
cook,gotować,cooked,cooked
switch,przełącznik,switched,switched
train,pociąg,trained,trained
cry,płakać,cried,cried
clean,czysty,cleaned,cleaned
invest,inwestować,invested,invested
step,krok,stepped,stepped
limit,limit,limited,limited
illustrate,zilustrować,illustrated,illustrated
own,posiadać,owned,owned
tackle,sprzęt,tackled,tackled
challenge,wyzwanie,challenged,challenged
view,widok,viewed,viewed
withdraw,wycofać,withdrew,withdrawn
possess,posiadać,possessed,possessed
communicate,komunikować się,communicated,communicated
climb,wspinać się,climbed,climbed
gather,zbierać,gathered,gathered
separate,oddzielny,separated,separated
preserve,zachować,preserved,preserved
implement,wprowadzić w życie,implemented,implemented
shift,przesunięcie,shifted,shifted
resolve,rozwiązać,resolved,resolved
reject,odrzucać,rejected,rejected
inform,poinformować,informed,informed
imply,sugerować,implied,implied
acknowledge,uznać,acknowledged,acknowledged
conclude,wyciągnąć wniosek,concluded,concluded
shoot,strzelać,shot,shot
guarantee,gwarancja,guaranteed,guaranteed
comply,zastosować się,complied,complied
borrow,pożyczać,borrowed,borrowed
question,pytanie,questioned,questioned
promise,obietnica,promised,promised
enhance,wzmacniać,enhanced,enhanced
monitor,monitor,monitored,monitored
risk,ryzyko,risked,risked
permit,pozwolić,permitted,permitted
purchase,zakup,purchased,purchased
propose,zaproponować,proposed,proposed
celebrate,świętować,celebrated,celebrated
charge,opłata,charged,charged
research,Badania,researched,researched
aim,cel,aimed,aimed
accommodate,pomieścić,accommodated,accommodated
phone,telefon,phoned,phoned
waste,marnotrawstwo,wasted,wasted
dance,taniec,danced,danced
wake,budzić,woke,woken
pray,modlić się,prayed,prayed
disappear,znikać,disappeared,disappeared
telephone,telefon,telephoned,telephoned
predict,przepowiadać wywróżyć,predicted,predicted
score,wynik,scored,scored
slip,poślizg,slipped,slipped
commit,popełnić,committed,committed
complain,skarżyć się,complained,complained
detect,wykryć,detected,detected
exclude,wykluczać,excluded,excluded
excuse,pretekst,excused,excused
interpret,interpretować,interpreted,interpreted
publish,publikować,published,published
link,połączyć,linked,linked
forgive,przebaczyć,forgave,forgiven
negotiate,negocjować,negotiated,negotiated
analyse,analizować,analysed,analysed
name,Nazwa,named,named
stretch,rozciągać,stretched,stretched
upset,zdenerwowany,upset,upset
qualify,zakwalifikować,qualified,qualified
damage,uszkodzić,damaged,damaged
launch,uruchomić,launched,launched
paint,farba,painted,painted
specify,sprecyzować,specified,specified
grant,dotacja,granted,granted
lend,wypożyczać,lent,lent
construct,zbudować,constructed,constructed
react,reagować,reacted,reacted
organise,zorganizować,organised,organised
deserve,zasłużyć,deserved,deserved
head,głowa,headed,headed
direct,bezpośredni,directed,directed
land,wylądować,landed,landed
conduct,postępek,conducted,conducted
sustain,ponieść,sustained,sustained
submit,Zatwierdź,submitted,submitted
consist,składać się,consisted,consisted
blow,cios,blew,blown
mix,mieszać,mixed,mixed
guide,przewodnik,guided,guided
owe,zawdzięczać,owed,owed
convince,przekonać,convinced,convinced
practise,ćwiczyć,practised,practised
strengthen,wzmacniać,strengthened,strengthened
knock,pukanie,knocked,knocked
invite,Zapraszam,invited,invited
burn,palić się,burned,burned
abandon,porzucić,abandoned,abandoned
reply,Odpowiadać,replied,replied
shake,potrząsnąć,shook,shaken
fix,naprawić,fixt,fixt
pretend,stwarzać pozory,pretended,pretended
consult,konsultować,consulted,consulted
divide,podzielić,divided,divided
engage,angażować,engaged,engaged
search,Szukaj,searched,searched
fulfil,spełnić,fulfilled,fulfilled
exploit,wykorzystać,exploited,exploited
rule,reguła,ruled,ruled
process,proces,processed,processed
fetch,sprowadzać,fetched,fetched
convey,przenieść,conveyed,conveyed
shed,budka,shed,shed
market,rynek,marketed,marketed
fancy,fantazyjny,fancied,fancied
smoke,palić,smoked,smoked
smell,zapach,smelled,smelled
thrust,nacisk,thrust,thrust
incorporate,włączać,incorporated,incorporated
restrict,ograniczać,restricted,restricted
warn,ostrzec,warned,warned
eliminate,wyeliminować,eliminated,eliminated
kiss,pocałunek,kissed,kissed
announce,ogłosić,announced,announced
evaluate,oceniać,evaluated,evaluated
convert,konwertować,converted,converted
retire,przejść na emeryturę,retired,retired
adjust,dostosować,adjusted,adjusted
ease,łatwość,eased,eased
breathe,oddychać,breathed,breathed
pour,wlać,poured,poured
knit,robić na drutach,knit,knit
exceed,przekraczać,exceeded,exceeded
back,plecy,backed,backed
approve,zatwierdzać,approved,approved
trace,ślad,traced,traced
register,zarejestrować,registered,registered
calculate,obliczać,calculated,calculated
occupy,zająć,occupied,occupied
stimulate,stymulować,stimulated,stimulated
print,wydrukować,printed,printed
stress,naprężenie,stressed,stressed
appoint,wyznaczać,appointed,appointed
free,wolny,freed,freed
interfere,kolidować,interfered,interfered
object,obiekt,objected,objected
boost,podnieść,boosted,boosted
smile,uśmiech,smiled,smiled
facilitate,ułatwiać,facilitated,facilitated
lack,brak,lacked,lacked
cease,zaprzestać,ceased,ceased
enforce,egzekwować,enforced,enforced
adapt,przystosować się,adapted,adapted
tie,wiązanie,tied,tied
quote,zacytować,quoted,quoted
dominate,zdominować,dominated,dominated
pop,Muzyka pop,popped,popped
please,Proszę,pleased,pleased
design,projekt,designed,designed
intervene,interweniować,intervened,intervened
yield,wydajność,yielded,yielded
resign,rezygnować,resigned,resigned
spell,zaklęcie,spelled,spelled
shout,krzyczeć,shouted,shouted
stir,wymieszać,stirred,stirred
emphasise,podkreślać,,
spare,zapasowy,spared,spared
estimate,oszacowanie,estimated,estimated
kick,kopnięcie,kicked,kicked
regret,żal,regretted,regretted
offset,offsetowy,offset,offset
list,lista,listed,listed
dress,sukienka,dressed,dressed
declare,ogłosić,declared,declared
assure,gwarantować,assured,assured
derive,czerpać,derived,derived
access,dostęp,accessed,accessed
delay,opóźnienie,delayed,delayed
clarify,wyjaśniać,clarified,clarified
copy,Kopiuj,copied,copied
favour,przysługa,favoured,favoured
dig,kopać,dug,dug
respect,Poszanowanie,respected,respected
hand,dłoń,handed,handed
capture,zdobyć,captured,captured
reinforce,wzmacniać,reinforced,reinforced
transform,przekształcać,transformed,transformed
perceive,dostrzec,perceived,perceived
function,funkcjonować,functioned,functioned
fuck,pierdolić,fucked,fucked
threaten,grozić,threatened,threatened
quit,porzucić,quit,quit
accompany,towarzyszyć,accompanied,accompanied
swim,pływać,swam,swum
fund,fundusz,funded,funded
pack,Pakiet,packed,packed
correct,poprawny,corrected,corrected
cancel,Anuluj,cancelled,cancelled
sail,żagiel,sailed,sailed
compensate,kompensować,compensated,compensated
steal,kraść,stole,stolen
undermine,osłabiać,undermined,undermined
range,zasięg,ranged,ranged
feature,cecha,featured,featured
oppose,sprzeciwiać się,opposed,opposed
locate,Znajdź,located,located
hurry,pośpiech,hurried,hurried
tap,kran,tapped,tapped
broadcast,nadawanie,broadcast,broadcast
sue,pozwać,sued,sued
store,sklep,stored,stored
trade,handel,traded,traded
bid,oferta,bid,bid
organize,zorganizować,,
light,lekki,lit,lit
slow,powolny,slowed,slowed
concern,dotyczyć,concerned,concerned
dismiss,oddalić,dismissed,dismissed
swear,przysięgać,swore,sworn
highlight,atrakcja,highlighted,highlighted
repair,naprawa,repaired,repaired
conform,odpowiadać,conformed,conformed
amount,ilość,amounted,amounted
attach,dołączać,attached,attached
dream,śnić,dreamed,dreamed
rush,pośpiech,rushed,rushed
absorb,absorbować,absorbed,absorbed
sink,tonąć,sank,sunk
grab,chwycić,grabbed,grabbed
calm,spokojna,calmed,calmed
protest,protest,protested,protested
balance,saldo,balanced,balanced
beg,błagać,begged,begged
install,zainstalować,installed,installed
advance,postęp,advanced,advanced
fire,ogień,fired,fired
block,blok,blocked,blocked
aid,pomoc,aided,aided
flow,pływ,flowed,flowed
drag,opór,dragged,dragged
correspond,korespondować,corresponded,corresponded
pose,poza,posed,posed
admire,podziwiać,admired,admired
relieve,odciążyć,relieved,relieved
reverse,rewers,reversed,reversed
time,czas,timed,timed
combat,walka,combatted,combatted
integrate,zintegrować,integrated,integrated
disagree,nie zgadzać się,disagreed,disagreed
connect,połączyć,connected,connected
update,aktualizacja,updated,updated
modify,modyfikować,modified,modified
anticipate,przewidywać,anticipated,anticipated
tax,podatek,taxed,taxed
opt,optować,opted,opted
stare,gapić się,stared,stared
spot,miejsce,spotted,spotted
command,dowództwo,commanded,commanded
obey,być posłusznym,obeyed,obeyed
house,dom,housed,housed
extract,wyciąg,extracted,extracted
slide,ślizgać się,slid,slid
counter,licznik,countered,countered
resume,wznawianie,resumed,resumed
grasp,chwycić,grasped,grasped
swing,huśtawka,swang,swung
render,renderowanie,rendered,rendered
speed,prędkość,sped,sped
confront,konfrontować,confronted,confronted
ban,zakaz,banned,banned
wipe,wycierać,wiped,wiped
double,podwójnie,doubled,doubled
comprise,zawierać,comprised,comprised
witness,świadek,witnessed,witnessed
plant,roślina,planted,planted
breed,rasa,bred,bred
assert,zapewniać,asserted,asserted
disclose,ujawniać,disclosed,disclosed
defeat,Pokonać,defeated,defeated
squeeze,ściskać,squeezed,squeezed
taste,smak,tasted,tasted
bind,wiązać,bound,bound
harm,szkoda,harmed,harmed
encounter,spotkanie,encountered,encountered
request,żądanie,requested,requested
struggle,borykać się,struggled,struggled
hire,zatrudnić,hired,hired
conceal,ukryć,concealed,concealed
recruit,rekrut,recruited,recruited
co-operate,współpracować,co-operated,co-operated
wander,zbłądzić,wandered,wandered
emphasize,podkreślać,emphasized,emphasized
weigh,ważyć,weighed,weighed
coincide,zbiec się,coincided,coincided
bend,zakręt,bent,bent
regulate,regulować,regulated,regulated
rescue,ratować,rescued,rescued
entertain,bawić,entertained,entertained
forecast,prognoza,forecast,forecast
inspect,sprawdzać,inspected,inspected
export,eksport,exported,exported
urge,popęd,urged,urged
induce,spowodować,induced,induced
lock,zamek,locked,locked
exhibit,eksponować,exhibited,exhibited
exchange,Wymieniać się,exchanged,exchanged
warm,ciepły,warmed,warmed
confess,wyznać,confessed,confessed
tolerate,tolerować,tolerated,tolerated
mount,uchwyt,mounted,mounted
brush,szczotka,brushed,brushed
reproduce,rozmnażać się,reproduced,reproduced
undergo,przejść,underwent,undergone
impress,imponować,impressed,impressed
figure,postać,figured,figured
decline,upadek,declined,declined
rub,pocierać,rubbed,rubbed
cater,zaopatrywać,catered,catered
tour,wycieczka,toured,toured
distribute,rozprowadzać,distributed,distributed
sense,sens,sensed,sensed
repay,odwdzięczyć się,repaid,repaid
regain,wracać,regained,regained
minimise,zminimalizować,minimised,minimised
halt,postój,halted,halted
shape,kształt,shaped,shaped
cool,chłodny,cooled,cooled
disturb,przeszkadzać,disturbed,disturbed
bite,gryźć,bit,bitten
progress,postęp,progressed,progressed
devote,poświęcać,devoted,devoted
provoke,sprowokować,provoked,provoked
dispose,dysponować,disposed,disposed
translate,Tłumaczyć,translated,translated
reassure,uspokajać,reassured,reassured
contemplate,rozważać,contemplated,contemplated
alert,alarm,alerted,alerted
service,usługa,serviced,serviced
interact,oddziaływać,interacted,interacted
heat,ciepło,heated,heated
devise,wymyślać,devised,devised
govern,rządzić,governed,governed
apologise,przepraszać,apologised,apologised
expose,expose,exposed,exposed
embrace,uścisk,embraced,embraced
comfort,komfort,comforted,comforted
seize,chwycić,seized,seized
melt,topnieć,melted,melted
supplement,uzupełnienie,supplemented,supplemented
lean,pochylać się,leaned,leaned
exert,wywierać,exerted,exerted
beware,strzec się,,
resemble,przypominać,resembled,resembled
abolish,znieść,abolished,abolished
wed,poślubić,wed,wed
arrest,aresztować,arrested,arrested
crack,pęknięcie,cracked,cracked
suppress,stłumić,suppressed,suppressed
guard,strzec,guarded,guarded
surprise,niespodzianka,surprised,surprised
hesitate,wahać się,hesitated,hesitated
load,obciążenie,loaded,loaded
swallow,Łyk,swallowed,swallowed
initiate,zainicjować,initiated,initiated
float,pływak,floated,floated
effect,efekt,effected,effected
manipulate,manipulować,manipulated,manipulated
deter,powstrzymać,deterred,deterred
associate,współpracownik,associated,associated
administer,administrować,administered,administered
murder,morderstwo,murdered,murdered
persist,trwać,persisted,persisted
greet,powitać,greeted,greeted
tear,łza,tore,torn
hunt,polowanie,hunted,hunted
spoil,zepsuć,spoiled,spoiled
line,linia,lined,lined
bless,błogosławić,blest,blest
ascertain,ustalać,ascertained,ascertained
penetrate,przenikać,penetrated,penetrated
multiply,zwielokrotniać,multiplied,multiplied
merge,łączyć,merged,merged
coach,trener,coached,coached
drain,drenaż,drained,drained
suffice,wystarczać,sufficed,sufficed
presume,przypuszczać,presumed,presumed
fish,ryba,fished,fished
shop,sklep,shopped,shopped
race,wyścigi,raced,raced
honour,honor,honoured,honoured
freeze,zamrażać,froze,frozen
cure,lekarstwo,cured,cured
revive,wskrzesić,revived,revived
swap,zamiana,swapped,swapped
endure,znieść,endured,endured
chase,pościg,chased,chased
consume,konsumować,consumed,consumed
insert,wstawić,inserted,inserted
anger,gniew,angered,angered
await,czekać na,awaited,awaited
minister,minister,ministered,ministered
drift,dryf,drifted,drifted
substitute,zastąpić,substituted,substituted
stem,trzon,stemmed,stemmed
surrender,poddanie się,surrendered,surrendered
wind,wiatr,winded,winded
contract,kontrakt,contracted,contracted
machine,maszyna,machined,machined
differentiate,Rozróżniać,differentiated,differentiated
advertise,reklamować,advertised,advertised
reconcile,pogodzić,reconciled,reconciled
project,projekt,projected,projected
co-ordinate,koordynować,co-ordinated,co-ordinated
snap,kłapnięcie,snapped,snapped
damn,cholerny,damned,damned
bake,piec,baked,baked
top,Top,topped,topped
fold,zagięcie,folded,folded
concede,przyznać,conceded,conceded
renew,odnowić,renewed,renewed
formulate,formułować,formulated,formulated
confuse,dezorientować,confused,confused
maximise,Wyolbrzymiać,,
sweep,zamiatać,swept,swept
cheer,dopingować,cheered,cheered
steer,sterować,steered,steered
base,baza,based,based
cf.,cf.,,
indulge,pobłażać,indulged,indulged
decrease,zmniejszać,decreased,decreased
reserve,rezerwować,reserved,reserved
host,gospodarz,hosted,hosted
evolve,ewoluować,evolved,evolved
foster,sprzyjać,fostered,fostered
discourage,zniechęcać,discouraged,discouraged
curb,krawężnik,curbed,curbed
allocate,przeznaczyć,allocated,allocated
supervise,dozorować,supervised,supervised
fade,blaknąć,faded,faded
endorse,podpisać się,endorsed,endorsed
condemn,potępiać,condemned,condemned
book,książka,booked,booked
tip,Wskazówka,tipped,tipped
reform,reforma,reformed,reformed
complement,komplement,complemented,complemented
punish,karać,punished,punished
bang,huk,banged,banged
outline,zarys,outlined,outlined
diminish,zmniejszać,diminished,diminished
prevail,panować,prevailed,prevailed
leap,skok,leaped,leaped
wrap,owinąć,wrapped,wrapped
compromise,kompromis,compromised,compromised
collapse,zawalić się,collapsed,collapsed
safeguard,zabezpieczenie,safeguarded,safeguarded
inhibit,hamować,inhibited,inhibited
scream,krzyk,screamed,screamed
date,data,dated,dated
delete,kasować,deleted,deleted
attain,osiągać,attained,attained
dislike,nie lubić,disliked,disliked
conceive,pojąć,conceived,conceived
shine,blask,shone,shone
dictate,dyktować,dictated,dictated
unite,zjednoczyć,united,united
import,import,imported,imported
spring,wiosna,sprang,sprung
rebuild,odbudować,rebuilt,rebuilt
flourish,zakrętas,flourished,flourished
criticise,krytykować,criticised,criticised
boil,gotować,boiled,boiled
flee,uciec,fled,fled
commence,rozpocząć,commenced,commenced
praise,pochwała,praised,praised
draft,wersja robocza,drafted,drafted
park,park,parked,parked
discriminate,dyskryminować,discriminated,discriminated
track,tor,tracked,tracked
enclose,ująć,enclosed,enclosed
interview,wywiad,interviewed,interviewed
tighten,dokręcać,tightened,tightened
price,Cena £,priced,priced
colour,kolor,coloured,coloured
venture,przedsięwzięcie,ventured,ventured
speculate,spekulować,speculated,speculated
depart,odstąpić,departed,departed
bury,pogrzebać,buried,buried
interrupt,przerwać,interrupted,interrupted
disguise,przebranie,disguised,disguised
elect,elekt,elected,elected
withstand,wytrzymać,withstood,withstood
discharge,rozładować się,discharged,discharged
restrain,powstrzymać się,restrained,restrained
thrive,prosperować,throve,thriven
echo,Echo,echoed,echoed
divert,odwracać,diverted,diverted
fry,smażyć,fried,fried
dissolve,rozwiązać,dissolved,dissolved
edit,edytować,edited,edited
assemble,gromadzić,assembled,assembled
ruin,ruina,ruined,ruined
accelerate,przyśpieszyć,accelerated,accelerated
envisage,przewidywać,envisaged,envisaged
congratulate,pogratulować,congratulated,congratulated
retrieve,odzyskać,retrieved,retrieved
descend,schodzić,descended,descended
