I wish I had bought o one way ticket last year,Zaluje ze nie kupilem biletu w jedna strone w zeszlym roku Zalowanie ze nie zrobilo sie lub zrobilo sie cos w przeszlosci
I will have been saving money for 4 months by the end of the May,Bede oszczedzac pieniadze przez 4 miesiace przez koncem maja
I have been learning English for 10 years,Ucze sie angielskiego od 10 lat wciaz
I will have been watching a film for 2 hours by midnight,Przed polnoca bede ogladal film 2 godziny
Twenty years from now you will be more disappointed by the things you didn't do than by the ones you did do,Za 20 lat bedziesz bardziej zalowal rzeczy ktorych nie zrobiles niz te ktore zrobiles
He has been working on his travel plan for the last few months,On pracuje nad swoim planem podrozy od kilku miesiecy
We are staying in Paris for a few days,Zatrzymujemy sie xx jestesmy xx w Paryzu na kilka dni xx pres perf cont gdyby bylo od kilku dni
I have just watched a film,Wlasnie obejrzalem film
My friend takes awesome photographs,Moj przyjaciel robi niesamowite zdjecia
I knew Jane for about 10 years Then I moved out of the town and we lost touch,Znalem Jane przez 10 lat Potem wyprowadzilem sie z miasta i stracilismy kontakt
I thought about Jenny all the time,Myslalem o Jenny caly czas(tak bylo kiedys)
When you called me I was taking a shower,Gdy do mnie dzwoniles bralem prysznic
Before I moved to California I had never seen my grandparents,Zanim przeprowadzilem sie do Kaliforni nigdy nie widzialem moich dziadkow
When my boyfriend came over to pick me up I had been doing my make-up for over an hour,Kiedy moj chlopak przyszedl mnie odebrac robilam makijaz przez ponad godzine
I have lived or have been living in Poland for 5 years,Mieszkam w Polsce od 5 lat
Did you call him?,Dzwonilas do niego?
I'm meeting with my best friend tonight Want to join us?,Dzisiaj spotykam sie z moja najlepsza przyjaciolka Chcesz sie dolaczyc?
Johnny decided to give it a shot and become a volunteer in Thailand He didnt nedd to pay for his ticket,Johnny postanowil sprobowac i zostal wolontariuszem w Tajlandii Nie musial placic za swoj bilet
I will be doing grocery shopping in the afternoon Do you need anything?,Bede robil zakupy spozywcze po poludniu Potrzebujesz cos?
I was watching a film yesterday at 4 pm,Ogladalem film wczoraj o 16
How long have you been waiting for me?,Jak dlugo czekasz na mnie? wciaz czekasz?
He doesn't go to movies too often,On nie chodzi do kina zbyt czesto
Water boils at 100 degrees Centigrade,Woda wrze w temperaturze 100 stopni celsjusza
No I have not done it yet,Nie jeszcze tego nie zrobilem
I have been to NY and I love it!,Byłem w NY(i wrocilem) i kocham to miejsce!
By the end of the year I will have watched 15 films,Przed koncem roku obejrze 15 filmow
He wishes he hadnt bought a used car,On zaluje ze nie kupil uzywanego samochodu Zalowanie czego co wydarzylo sie w przeszlosci
What do you do?,Czym sie zajmujesz?
I used to take the train to work,Kiedys jezdzilem pociagiem do pracy
By the end of the month I will have gone to the gym 3 times,Do konca miesiaca pojde na silownie 3 razy
We finally didn't rent a car We chose to use public transport,W koncu nie wynajelismy tego samochodu Zdecydowalismy sie na transport publiczny
I will watch a film tomorrow,Obejrze film jutro
Actually I'm working currently!,Wlasciwie to pracuje teraz
I'm having my house renovated,Remontuje dom
Since January 2014 I have been attending for a course and preparing for my exam next year,Od stycznia 2014 chodze na kurse i przygotowuje sie na egzamin w przyszlym roku
I will take care of it,Zajme sie tym
I will have been learning for 2 hours before my mum lets me go to see my friends,Bede sie uczyl przez dwie godziny zanim mam pozwoli mi isc zobaczyc sie z przyjaciolmi
What are you drinking?,Co teraz pijesz?
What time do you wake up?,O ktorej sie budzisz?
They will have finished their apartment by the end of the year,Oni skoncza ich miekszanie przed koncem roku
I woke up at 6pm,Obudzilem sie o 6 rano
Have you ever bungee jumped?,Skakales kiedys na bungee?
I have read an inspiring novel recently,Czytałem ostatnio inspirujaca nowele
I have had a very long day,Mialem bardzo dlugi dzien
He must save some money By the end of this month he will have been saving money for his dream trip for 6 months,Musi oszczedzac pieniadze Przed koncem miesiaca bedzie oszczedzal pieniadze na wymarzona wycieczke od 6 miesiecy
I didin't buy this watch,Nie kupilem tego zegarka
I put my jacket on found my keys and drove to the nearest grocery store,Zalozylem kurtke znalazlem klucze i pojechalem do najblizszego supermarketu
Im gonna have my hair cut,Zamierzam sciac wlosy
Before we left home we had been waiting for him for an hour,Zanim wyszlismy z domu czekalismy na niego przez godzine
Mike had been looking for his keys for an hour before his brother found them under his bed,Mike szukal swoich kluczy przez godzine zanim jego brat znalazl je pod jego lozkiem
I have been hiking all day,Caly dzien spaceruje spacerowalem po gorach
Who likes to play basketball?,Kto lubi grac w kosza?
What did you use to do when you went to primary school?,Co miales w zwyczaju robic gdy chodziles do szkoly?
Before I meet with my boss I will have prepared my report,Zanim spotkam sie z szefem przygotuje raport
I was practising English when I came up with a brilliant idea,Uczylem sie angielskiego gdy wpadlem na znakomity pomysl
Exactly one year had passed since the night they were supposed to become engaged,Dokladnie rok minal od nocy kiedy mieli zamiar stac sie zareczeni
And then I realised that I had always wanted to live there,I wtedy zdalem sobie sprawe ze zawsze chcialem tam zyc
Do you go to the gym?,Czy chodzisz na silownie?
Will you be passing by a post office?,Bedziesz przechodzil kolo poczty? xx czy zalatwisz dla mnie jakas sprawe xx
He is certain he will start his big trip soon,On jest pewny ze zacznie swoja wielka podroz wkrotce
They have bought a new car,Oni kupili nowy samochod (i maja go)
You will have mastered all English tenses by the time this challange comes to an end,Opanujesz wszystkie czasy angielskie zanim to wyzwanie dobiegnie konca
She will not have finished her raport by the time her colleague comes back from holidays,Ona nie skonczy raportu przed tym jak jej kolega nie wroci z wakacji
She remembers them clearly,Ona dobrze ich pamieta
Once While he was trying to make a decision on the exact date of his journey He came across an intriguing add,Kiedys gdy probowal podjac decyzje dokladnej daty jego podrozy natknal sie na intrygujace ogloszenie
I was going to ask you If you have seen my guitar,Zamierzalem spytac cie czy nie widziales mojej gitary
I have written a book,Napisalem ksiazke (osiagniecia)
At 6pm I will be washing my baby so please dont call me at this time,O 18 bede myc moje dziecko wiec prosze nie dzwon o tej porze
Where do you live?,Gdzie mieszkasz?
Im gonna work on it harder,Zamierzam pracowac nad tym ciezej
I will have read this book by tomorrow,Do jutra przeczytam te ksiazke
They're always talking so loud!,Oni zawsze tak glosno rozmawiaja!
I have already finished my homework,Ja juz skonczylem moja prace domowa
I watched a film yesterday,Wczoraj obejrzalem film
Do they cook for their children?,Czy oni gotuja dla swoich dzieci?
I will buy a new computer,Kupie nowy samochod xxx spontaniczne
Yesterday at 9am I was drinking my coffee,Wczoraj o 9 rano pilem kawe
When I went to high school I used to play games,Gdy chodzilem do liceum gralem w gry
I met my friend the other day a few days ago,Spotkalem przyjaciol kilka dni temu
What did you use to do what you don't do any more?,Co robiles kiedys czego juz dzis nie robisz?
For the last months I have been looking for a better place to work,Przez ostatnie miesiace szukam lepszego miejsca do pracy
Mark was taking a bath when Mary was laiyng in bed and waiting for him,Mark bral prysznic gdy Mary lezala w lozku i czekala na niego
He is going to ask his best friend if he wants to join him,On zamierza spytac najlepszego przycjaciela czy chce doloczyc do niego
Why have you been crying?,Dlaczego plakales? juz nie placze ale ma zaszklone oczy
Did you just ask me to the dinner?,Czy ty wlasnie zaprosiles mnie na kolacje?
He passes the ball to Messi and he scores the goal!,On podaje do Messi a on zdobywa bramke!
Are you reading a book now?,Czy teraz czytasz ksiazke?
As she was leaving the court  a crowd of photographers gathered around her,Kiedy ona opuszczala sąd tłum fotografów zebrał się wokól niej
But for (If I hadn t drunk) the glass of wine I had for dinner xxx I would have got the house work done,Gdyby nie kieliszek wina ktory mialem na kolacje mialbym zrobione wszystkie prace domowe
But for your help I would not have got success,gdyby nie twoja pomoc nie odnioslbym sukcesu
Do you mind If I ask your mom? presSimple,Czy bedziesz mial cos przeciwko jesli spytam twojaj mame?
Would you mind if we went out to eat? past simple or present contin,Czy mialbys cos przeciwko jesli wyjdziemy cos zjesc?
Would you mind being quiet for a minute?,Czy mogłbys byc cicho przez chwile?
Would you mind telling me what you are donig?,Czy moglbys mi powiedziec co ty teraz robisz?
I have many thoughts on I want to do,Mam wiele mysli na temat tego co chce zrobic
If Mozart stopped composing for a few years would he not know how to create a masterpiece after a break,Jesli mozart przestalby komponowac przez pare lat to czy nie wiedzialby jak napisac sztuke po przerwie
